run_id,key,split_pair,n_overlap,examples,is_fail_key,audit_pass
alignn_seed20260528,id,train_vs_val,0,,True,True
alignn_seed20260528,id,train_vs_test,0,,True,True
alignn_seed20260528,id,val_vs_test,0,,True,True
alignn_seed20260528,cif_path,train_vs_val,0,,True,True
alignn_seed20260528,cif_path,train_vs_test,0,,True,True
alignn_seed20260528,cif_path,val_vs_test,0,,True,True
alignn_seed20260528,formula,train_vs_val,113,Ag2Te;Al(HO)3;AlCuO3;AlPO4;BaH8PtC4(NO)4,False,True
alignn_seed20260528,formula,train_vs_test,165,Ac3Yb;Al(NiO2)2;As2O3;Ba3Sr;BaO,False,True
alignn_seed20260528,formula,val_vs_test,30,CdI2;CeSe2;CrN2;Er2Si2O7;KH3(SeO3)2,False,True
alignn_seed20260529,id,train_vs_val,0,,True,True
alignn_seed20260529,id,train_vs_test,0,,True,True
alignn_seed20260529,id,val_vs_test,0,,True,True
alignn_seed20260529,cif_path,train_vs_val,0,,True,True
alignn_seed20260529,cif_path,train_vs_test,0,,True,True
alignn_seed20260529,cif_path,val_vs_test,0,,True,True
alignn_seed20260529,formula,train_vs_val,113,Ag2Te;Al(HO)3;AlCuO3;AlPO4;BaH8PtC4(NO)4,False,True
alignn_seed20260529,formula,train_vs_test,165,Ac3Yb;Al(NiO2)2;As2O3;Ba3Sr;BaO,False,True
alignn_seed20260529,formula,val_vs_test,30,CdI2;CeSe2;CrN2;Er2Si2O7;KH3(SeO3)2,False,True
alignn_seed20260530,id,train_vs_val,0,,True,True
alignn_seed20260530,id,train_vs_test,0,,True,True
alignn_seed20260530,id,val_vs_test,0,,True,True
alignn_seed20260530,cif_path,train_vs_val,0,,True,True
alignn_seed20260530,cif_path,train_vs_test,0,,True,True
alignn_seed20260530,cif_path,val_vs_test,0,,True,True
alignn_seed20260530,formula,train_vs_val,113,Ag2Te;Al(HO)3;AlCuO3;AlPO4;BaH8PtC4(NO)4,False,True
alignn_seed20260530,formula,train_vs_test,165,Ac3Yb;Al(NiO2)2;As2O3;Ba3Sr;BaO,False,True
alignn_seed20260530,formula,val_vs_test,30,CdI2;CeSe2;CrN2;Er2Si2O7;KH3(SeO3)2,False,True
chgnet_seed20260528,id,train_vs_val,0,,True,True
chgnet_seed20260528,id,train_vs_test,0,,True,True
chgnet_seed20260528,id,val_vs_test,0,,True,True
chgnet_seed20260528,cif_path,train_vs_val,0,,True,True
chgnet_seed20260528,cif_path,train_vs_test,0,,True,True
chgnet_seed20260528,cif_path,val_vs_test,0,,True,True
chgnet_seed20260528,formula,train_vs_val,113,Ag2Te;Al(HO)3;AlCuO3;AlPO4;BaH8PtC4(NO)4,False,True
chgnet_seed20260528,formula,train_vs_test,165,Ac3Yb;Al(NiO2)2;As2O3;Ba3Sr;BaO,False,True
chgnet_seed20260528,formula,val_vs_test,30,CdI2;CeSe2;CrN2;Er2Si2O7;KH3(SeO3)2,False,True
chgnet_seed20260529,id,train_vs_val,0,,True,True
chgnet_seed20260529,id,train_vs_test,0,,True,True
chgnet_seed20260529,id,val_vs_test,0,,True,True
chgnet_seed20260529,cif_path,train_vs_val,0,,True,True
chgnet_seed20260529,cif_path,train_vs_test,0,,True,True
chgnet_seed20260529,cif_path,val_vs_test,0,,True,True
chgnet_seed20260529,formula,train_vs_val,113,Ag2Te;Al(HO)3;AlCuO3;AlPO4;BaH8PtC4(NO)4,False,True
chgnet_seed20260529,formula,train_vs_test,165,Ac3Yb;Al(NiO2)2;As2O3;Ba3Sr;BaO,False,True
chgnet_seed20260529,formula,val_vs_test,30,CdI2;CeSe2;CrN2;Er2Si2O7;KH3(SeO3)2,False,True
