scope,key,split_pair,n_overlap,examples,is_fail_key,audit_pass
frac010_seed20260528,id,train_vs_val,0,,True,True
frac010_seed20260528,id,train_vs_test,0,,True,True
frac010_seed20260528,id,val_vs_test,0,,True,True
frac010_seed20260528,cif_path,train_vs_val,0,,True,True
frac010_seed20260528,cif_path,train_vs_test,0,,True,True
frac010_seed20260528,cif_path,val_vs_test,0,,True,True
frac010_seed20260528,formula,train_vs_val,601,AcMg3;AcNd3;AcPm3;AcSm3;Ag2S,False,True
frac010_seed20260528,formula,train_vs_test,634,Ac2S3;Ac3Y;AcY3;Ag2S;AgAu,False,True
frac010_seed20260528,formula,val_vs_test,156,AcF3;Ag2S;AgPd;AgPdO2;Al2O3,False,True
frac010_seed20260529,id,train_vs_val,0,,True,True
frac010_seed20260529,id,train_vs_test,0,,True,True
frac010_seed20260529,id,val_vs_test,0,,True,True
frac010_seed20260529,cif_path,train_vs_val,0,,True,True
frac010_seed20260529,cif_path,train_vs_test,0,,True,True
frac010_seed20260529,cif_path,val_vs_test,0,,True,True
frac010_seed20260529,formula,train_vs_val,601,AcMg3;AcNd3;AcPm3;AcSm3;Ag2S,False,True
frac010_seed20260529,formula,train_vs_test,634,Ac2S3;Ac3Y;AcY3;Ag2S;AgAu,False,True
frac010_seed20260529,formula,val_vs_test,156,AcF3;Ag2S;AgPd;AgPdO2;Al2O3,False,True
frac010_seed20260530,id,train_vs_val,0,,True,True
frac010_seed20260530,id,train_vs_test,0,,True,True
frac010_seed20260530,id,val_vs_test,0,,True,True
frac010_seed20260530,cif_path,train_vs_val,0,,True,True
frac010_seed20260530,cif_path,train_vs_test,0,,True,True
frac010_seed20260530,cif_path,val_vs_test,0,,True,True
frac010_seed20260530,formula,train_vs_val,601,AcMg3;AcNd3;AcPm3;AcSm3;Ag2S,False,True
frac010_seed20260530,formula,train_vs_test,634,Ac2S3;Ac3Y;AcY3;Ag2S;AgAu,False,True
frac010_seed20260530,formula,val_vs_test,156,AcF3;Ag2S;AgPd;AgPdO2;Al2O3,False,True
frac050_seed20260528,id,train_vs_val,0,,True,True
frac050_seed20260528,id,train_vs_test,0,,True,True
frac050_seed20260528,id,val_vs_test,0,,True,True
frac050_seed20260528,cif_path,train_vs_val,0,,True,True
frac050_seed20260528,cif_path,train_vs_test,0,,True,True
frac050_seed20260528,cif_path,val_vs_test,0,,True,True
frac050_seed20260528,formula,train_vs_val,601,AcMg3;AcNd3;AcPm3;AcSm3;Ag2S,False,True
